Cell#,ROI Name,ROI#,RMS,Reflectance,D
18,nuc,14,0.16132957,1.2711948,2.533963733
18,nuc,15,0.14425567,1.1505945,2.447323416
18,nuc,16,0.11347015,1.1111737,2.251017116
18,nuc,17,0.13590181,1.0733005,2.399567557
18,nuc,18,0.13064049,1.0655448,2.367459324
18,nuc,19,0.12486242,1.1042264,2.330310232
18,nuc,2,0.14478013,1.2208949,2.45019505
18,nuc,20,0.11141109,1.0004914,2.235825606
18,nuc,21,0.11285359,0.9038302,2.246495714
18,nuc,3,0.15089194,1.1898946,2.48263814
18,nuc,4,0.13874881,1.1935008,2.416282092
18,nuc,5,0.14374937,1.1679524,2.444537629
18,nuc,6,0.12745233,1.1223625,2.347212427
18,nuc,7,0.13680401,1.0689653,2.404913975
18,nuc,8,0.13556924,1.1935481,2.397585107
18,nuc,9,0.13503678,1.1869509,2.394398001
19,nuc,0,0.16270024,1.1371155,2.540342079
19,nuc,1,0.14235489,1.1878686,2.436794979
19,nuc,10,0.13790429,1.1053827,2.411372015
19,nuc,11,0.11477003,0.9649846,2.260471134
19,nuc,12,0.13013503,1.1129841,2.364289756
19,nuc,13,0.1553432,1.0880786,2.505134537
19,nuc,14,0.15956576,1.2726324,2.525636833
19,nuc,15,0.14287828,1.1456152,2.439713136
19,nuc,16,0.1168578,1.1150547,2.275434782
19,nuc,17,0.13078535,1.0775949,2.368364912
19,nuc,18,0.13055763,1.0708157,2.366940771
19,nuc,19,0.12571767,1.1072338,2.335937673
19,nuc,2,0.14662598,1.2139245,2.460189533
19,nuc,20,0.106350765,1.0074548,2.197413519
19,nuc,21,0.1086991,0.90470076,2.215427319
19,nuc,3,0.1527966,1.1838545,2.492377471
19,nuc,4,0.13687395,1.1924679,2.405326515
19,nuc,5,0.14532195,1.173622,2.453146815
19,nuc,6,0.12810217,1.117891,2.351388845
19,nuc,7,0.14133908,1.0678357,2.431089251
19,nuc,8,0.13443927,1.1920861,2.390802251
19,nuc,9,0.13417368,1.1785384,2.389197393
20,nuc,0,0.16090782,1.1342638,2.531985018
20,nuc,1,0.14404172,1.186426,2.446147845
20,nuc,10,0.13869019,1.1093642,2.415942606
20,nuc,11,0.111528076,0.9674133,2.236695634
20,nuc,12,0.13054992,1.1137912,2.3668925
20,nuc,13,0.15315454,1.0860977,2.494188708
20,nuc,14,0.16070774,1.2683167,2.531043615
20,nuc,15,0.14126188,1.1464938,2.430653332
20,nuc,16,0.11188341,1.1095105,2.239333206
20,nuc,17,0.12997366,1.0800049,2.363274676
20,nuc,18,0.12889257,1.0662236,2.356434253
20,nuc,19,0.12370791,1.1005226,2.322640622
20,nuc,2,0.14749937,1.2111818,2.464858517
20,nuc,20,0.10909025,1.0029145,2.218396312
20,nuc,21,0.10903115,0.9047461,2.217948298
20,nuc,3,0.15178104,1.182037,2.487205841
20,nuc,4,0.13736658,1.1880317,2.408224466
20,nuc,5,0.14242136,1.1823361,2.437166395
20,nuc,6,0.12674454,1.1231655,2.342634334
20,nuc,7,0.13804446,1.0719889,2.412189838
20,nuc,8,0.13534392,1.1978637,2.396238399
20,nuc,9,0.13661732,1.1684253,2.403811435
